,narrative
849,proofing notice of motion re: disqualifying expert
850,researching memorandum re: motion to strike
851,proofing compendium re: enforcing foreign judgment
852,researching notice of motion re: refusals
853,researching memorandum re: injunction
854,revising motion record re: disqualifying expert
855,proofing order re: refusals
856,briefing compendium re: summary judgment
857,researching order re: motion to strike
858,revising factum re: enforcing foreign judgment
859,briefing memorandum re: refusals
860,revising analysis re: enforcing foreign judgment
861,preparing order re: injunction
862,proofing memorandum re: motion to strike
863,preparing memo re: enforcing foreign judgment
864,proofing order re: disqualifying expert
865,researching affidavit re: summary judgment
866,proofing order re: injunction
867,researching memorandum re: disqualifying expert
868,writing notice of motion re: refusals
869,reviewing compendium re: refusals
870,analyzing memorandum re: injunction
871,proofing compendium re: motion to strike
872,drafting order re: enforcing foreign judgment
873,editing motion record re: summary judgment
874,writing motion record re: disqualifying expert
875,drafting memo re: refusals
876,briefing memo re: motion to strike
877,analyzing notice of motion re: refusals
878,researching memorandum re: summary judgment
879,drafting analysis re: summary judgment
880,briefing notice of motion re: refusals
881,proofing factum re: enforcing foreign judgment
882,writing compendium re: disqualifying expert
883,drafting memorandum re: disqualifying expert
884,analyzing affidavit re: refusals
885,preparing motion record re: motion to strike
886,writing analysis re: injunction
887,reviewing order re: motion to strike
888,editing compendium re: enforcing foreign judgment
889,writing order re: injunction
890,proofing order re: refusals
891,preparing book of authority re: enforcing foreign judgment
892,briefing affidavit re: enforcing foreign judgment
893,writing motion record re: enforcing foreign judgment
894,briefing order re: disqualifying expert
895,analyzing notice of motion re: disqualifying expert
896,researching affidavit re: summary judgment
897,drafting notice of motion re: injunction
898,analyzing order re: motion to strike
899,revising affidavit re: enforcing foreign judgment
900,revising memorandum re: summary judgment
901,revising notice of motion re: disqualifying expert
902,researching notice of motion re: motion to strike
903,revising memo re: refusals
904,preparing notice of motion re: enforcing foreign judgment
905,editing compendium re: disqualifying expert
906,reviewing order re: enforcing foreign judgment
907,proofing memorandum re: injunction
908,proofing motion record re: summary judgment
909,proofing order re: motion to strike
910,proofing compendium re: injunction
911,briefing affidavit re: disqualifying expert
912,reviewing memorandum re: refusals
913,revising book of authority re: disqualifying expert
914,drafting analysis re: motion to strike
915,preparing affidavit re: enforcing foreign judgment
916,drafting factum re: refusals
917,editing notice of motion re: injunction
918,researching memorandum re: injunction
919,researching memo re: injunction
920,proofing analysis re: disqualifying expert
921,analyzing order re: refusals
922,preparing memorandum re: motion to strike
923,drafting motion record re: disqualifying expert
924,preparing order re: disqualifying expert
925,reviewing affidavit re: motion to strike
926,preparing affidavit re: enforcing foreign judgment
927,reviewing book of authority re: injunction
928,drafting compendium re: enforcing foreign judgment
929,preparing analysis re: summary judgment
930,revising factum re: refusals
931,writing affidavit re: enforcing foreign judgment
932,editing memorandum re: enforcing foreign judgment
933,editing memorandum re: summary judgment
934,drafting compendium re: injunction
935,editing analysis re: refusals
936,preparing notice of motion re: disqualifying expert
937,preparing factum re: injunction
938,revising factum re: injunction
939,reviewing analysis re: enforcing foreign judgment
940,analyzing analysis re: summary judgment
941,analyzing memo re: injunction
942,revising affidavit re: enforcing foreign judgment
943,proofing memo re: motion to strike
944,drafting memorandum re: refusals
945,revising notice of motion re: summary judgment
946,revising book of authority re: disqualifying expert
947,briefing order re: motion to strike
948,reviewing memorandum re: motion to strike
949,analyzing compendium re: enforcing foreign judgment
950,drafting affidavit re: motion to strike
951,preparing notice of motion re: motion to strike
952,editing motion record re: summary judgment
953,writing compendium re: motion to strike
954,reviewing memorandum re: refusals
955,reviewing book of authority re: motion to strike
956,analyzing order re: refusals
957,revising book of authority re: disqualifying expert
958,preparing factum re: disqualifying expert
959,proofing factum re: refusals
960,writing factum re: motion to strike
961,reviewing motion record re: summary judgment
962,reviewing order re: motion to strike
963,researching affidavit re: enforcing foreign judgment
964,writing notice of motion re: disqualifying expert
965,briefing book of authority re: injunction
966,editing compendium re: disqualifying expert
967,drafting motion record re: enforcing foreign judgment
968,preparing notice of motion re: enforcing foreign judgment
969,briefing order re: disqualifying expert
970,researching factum re: disqualifying expert
971,reviewing compendium re: injunction
972,researching motion record re: enforcing foreign judgment
973,researching motion record re: injunction
974,drafting affidavit re: injunction
975,writing factum re: motion to strike
976,writing motion record re: injunction
977,briefing affidavit re: summary judgment
978,writing analysis re: injunction
979,writing analysis re: enforcing foreign judgment
980,drafting order re: disqualifying expert
981,writing memo re: disqualifying expert
982,preparing analysis re: motion to strike
983,revising factum re: injunction
984,analyzing memo re: motion to strike
985,preparing factum re: enforcing foreign judgment
986,researching book of authority re: disqualifying expert
987,drafting motion record re: refusals
988,revising order re: motion to strike
989,revising memorandum re: motion to strike
990,researching book of authority re: enforcing foreign judgment
991,briefing notice of motion re: motion to strike
